タイトル,企業名,給与,説明,タグ
「韓国語」IT運用カスタマーサクセス/リーダー/EC運用支援,株式会社EC運用代行,年収500〜700万円/昇給あり,大手グローバル企業（アパレル・EC領域）に対するEC運用支援を担うリーダーポジションの募集,"['在宅ワーク', '夜勤あり', 'シフト制', '資格取得支援', '週休2日', '社保完備', 'グローバル']"
韓国語/プロジェクトマネージャー「社内ITシステム構築・運用」 「日本最大級のテックカンパニー」,グローバルテック,年収700~1000万円,海外を含む当企業グループの社内IT構築および運用に関するプロジェクトマネジメント全般を担当,"['在宅ワーク', 'フレックス制', '週休2日']"
英語・英文事務・英文経理/韓国語使用基本在宅!大手IT企業にて部内アシスタント,グローバル人材派遣株式会社,時給2000円 / 交通費支給,【韓国語使用】翻訳含むサポート事務のお仕事,[]
「SaaSサービスのブリッジ業務」日本語⇔韓国語,株式会社クラウド,年収400〜600万円,法人向けクラウドストレージDirectCloudの開発支援,"['在宅ワーク', '英語活用', '年休120日～', 'オフィスカジュアル', 'フレックス制', '研修あり', '資格取得支援', '年俸制', '交通費', 'インセンティブ', 'グローバル', '産休・育休', 'ベンチャー', '特別休暇', '週休2日', '転勤なし']"
生産管理部長候補,グラム,年収800～1000万円,中国・韓国・日本など、国内外の委託工場（約10社）との折衝・スケジュール調整集,"['英語活用', '年休120日～', 'IoT', 'ベンチャー', 'フレックス制', '週休2日', '禁煙・分煙', '産休・育休', '賞与あり', 'ストックオプション', 'シェア上位']"
予約制ホスピタリティドライバー／月給40万円給与保障／業界売上No.1！梅田営業所ス株式会社,日本交通株式会社,年収 420～950万円,やさしい笑顔と暮らしのリズムを生み出す。デリバリーサポート市場を本格的に開拓,"['未経験歓迎', '経験者歓迎', '学問不問', '英語が活かせる', '中国語が活かせる', 'シニア歓迎', '主婦・主夫歓迎', 'フリーター歓迎', '女性活躍', '男性活躍', 'ブランクOK', '交通費支給', '資格取得支援', '賞与あり', '昇給あり', '社会保険完備', '産休・育休取得実績あり', '転勤なし', '残業なし', '制服あり', '車通勤OK', 'バイク通勤OK', '即日勤務OK', '大量募集', '急募', 'コロナ感染対策あり']"
「システム開発 リーダーPL/9割リモートワーク」在宅勤務がメイン/転勤なし/完全週休2日制/年間休日127日/残業月20H以内,AAソリューションズ株式会社,年収 800〜1000万円,メーカー系のERP業務をお任せします。,"['土日祝休', '在宅ワーク', 'リーダー候補', '転勤なし', 'DB2', '交通費', '週休2日', 'IoT', 'Python', 'データ分析', 'Olacle', 'PHP', '禁煙・分煙', 'PostgreSQL', 'MySQL', 'AWS', '研修あり', 'C++']"
「未経験者」海外営業「中国語」/Webマーケティング・ネット広告/職種未経験歓迎/業界未経験歓迎,株式会社スカイ,年収 350～500万円,「未経験歓迎」中国語を活用した海外営業を募集,"['未経験OK', '学歴不問', '特別休暇', 'WワークOK', '土日祝休', 'フレックス制', '髪型・髪色自由', '服装自由', 'ネイルOK', '英語活用', '社保完備', '転勤なし', '語学を生かす', '交通費', '年休120日～']"
「東京」事業開発本部 商品開発部 新規事業開発・スクール担当,株式会社バンバン,年収 500～800万円,クリエイティブ領域の即戦力人材の専門スクールを運営する事業会社です。,"['英語活用', '女性活躍', 'フレックス制', 'CAD', '年俸制', 'EXCEL', '交通費', '産休・育休', '年休120日～', '禁煙・分煙', 'PowerPoint', '資格取得支援', 'ベンチャー', '週休2日']"
SRE「Site Reliability Engineer」/インターネット/Webサービス・ASP/業界未経験歓迎,株式会社テッドクター,年収 500〜1000万円,成長必須！デジタルヘルス市場・自社プロダクトのSRE募集！,"['未経験OK', '在宅ワーク', '服装自由', '週休2日', 'ストックオプション', '転勤なし', 'ベンチャー', 'フレックス制', '社保完備', 'データ分析']"
運用管理・保守,コンサルティング株式会社,時給2200円 / 交通費支給,【語学力が活かせる＊17時退社可能＊研修】インフラ運用保守,"['未経験OK', '英語活用', '語学を活かす', '土日祝休', '年休120日～', '週休2日', '社保完備', '福利厚生充実', 'シフト制']"
韓国語を活かす丨アジアブランドのグローバル成長に伴走!CX組織立ち上げのリードメンバー募集,パーセント株式会社,年収 800〜1000万円,アジアのブランドを世界へ発信するスタートアップです。,"['在宅ワーク', '女性活躍', '韓国語活用', '英語活用', '年休120日～', 'ストックオプション', '禁煙・分煙', '交通費', '未経験OK', '英語活用', '社保完備', '週休2日', 'グローバル', 'ベンチャー', 'フレックス制']"
加盟店審査担当,株式会社DEZIDEZI,年収 800〜1000万円,決済サービスを提供する当社のカスタマーサクセス＆サポート部門にて、審査業務を中心に担当いただきます。,"['在宅ワーク', '英語活用', '禁煙・分煙', '昇給あり', '社保完備', 'PowerPoint', 'EXCEL', '週休2日', 'フレックス制']"
クラウド経験者歓迎 曙橋/インフラエンジニア 韓国上場企業の案件多数/残業10h程,株式会社スス,年収 500～540万円 / 賞与あり・昇給あり,韓国語を生かせる！日韓翻訳者募集,"['未経験OK', '英語活用', '土日祝休', 'ベンチャー', '駅チカ', '上場企業', '週休2日', '経験者歓迎', '年俸制']"
「Client Success Operations Lead美容医療アプリの原稿制作ポジション 」,株式会社Paper,応相談,制作×運用×データ×法令を横断し、プロダクト/事業成果に直結する改善をリードします。,"['土日祝休', '在宅ワーク', '週休2日', '社保完備', '昇給あり', '増員募集', 'ワークライフバランス', '特別休暇', 'フレックス制']"
新規事業企画「地域創生/海外進出も」未経験/第二新卒歓迎/起業支援あり,株式会社BBL,月給 35〜50万円 / 賞与あり・昇給あり,経営直下の新規事業や地方創生、海外事業の開拓など,"['未経験OK', '英語活用', 'データ分析', '資格手当', '土日祝休', '服装自由', '週休2日', 'AI', '女性管理職登用', 'メンバー育成', '交通費', '語学を活かす', '第二新卒', '社保完備', '学歴不問', '資格取得支援', 'チームプレイ', '女性活躍']"
ホテルフロントスタッフ,株式会社Uni,時給1300円～,海外のお客様の利用が多く、日々新しい出会いの多い環境で働けます！,"['未経験OK', '英語活用', '禁煙・分煙', '語学を活かす', 'シフト制', '駅チカ', '昇給あり', 'ホテル']"
金融クライアント向けIT監査・システム監査,新日本監査法人,年収 600～1500万円 / 賞与あり・昇給あり,金融システム経験＋韓国語/日本語,"['未経験OK', '在宅ワーク', '韓国語活用', '英語活用', 'ベンチャー', '週休2日', '土日祝休', '簿記', '研修あり', '学歴不問', '禁煙・分煙']"
韓国語の広告を審査するIT事務,アウトソーシング株式会社,時給 1600円,世界最大検索会社の韓国語広告を審査するお仕事,"['未経験OK', '服装自由', 'シフト制', '高収入', 'フルタイム', '交通費', '語学を活かす', '週休2日', '転勤なし', 'ミドル・シニア', '駅チカ', '英語活用', '禁煙・分煙', '研修あり', '学歴不問', '髪型・髪色自由', '産休・育休']"
PHPを用いたレストランサイトの開発,株式会社テクノロジー,月給 48～58万円,外国語版某飲食店企業様のレストランサイトの開発および保守運用,"['フルリモート', '学問不問', '服装自由', 'PHP', '産休・育休', '駅チカ', '禁煙・分煙', '昇給あり', '週休2日', '交通費', '経験者優遇', '英語活用', '特別休暇', 'FuelPHP']"
「SaaSサービスのブリッジ業務」日本語⇔韓国語/フレックス,ダイレクト株式会社,年収 400〜600万円,法人向けクラウドストレージの開発支援,"['在宅ワーク', '英語活用', '年俸制', 'オフィスカジュアル', '産休・育休', 'ベンチャー', '特別休暇', '資格取得支援', 'グローバル', '転勤なし', 'フレックス制', '研修あり', '年休120日～', '週休2日', '交通費', 'インセンティブ']"
韓国語 IT運用カスタマーサクセス,株式会社ECIT,年収 500〜600万円,大手グローバル企業に対するEC運用支援を担うリーダーポジションの募集,"['在宅ワーク', '社保完備', '交通費', 'リーダー候補', 'グローバル', '産休・育休', '週休2日', 'シフト制', '禁煙・分煙', '夜勤あり', '資格取得支援']"
